[seed] seed=42 deterministic=True (cudnn.deterministic, tf32 off, CUBLAS_WORKSPACE_CONFIG set)
[train-e2e] Device: cuda
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/exouser/.netrc.
wandb: Currently logged in as: muhammadumairhaider (multifacetednlp) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.28.0
wandb: Run data is saved locally in /home/exouser/RepresentationAE/GeoAE/wandb/run-20260825_203543-6m6z5i07
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run geosep_e2e_seed42
wandb: ⭐️ View project at https://wandb.ai/multifacetednlp/geosep-general-e2e
wandb: 🚀 View run at https://wandb.ai/multifacetednlp/geosep-general-e2e/runs/6m6z5i07
[train-e2e] wandb initialised
[train-e2e] Loading frozen LLM: meta-llama/Llama-3.2-3B
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 3194.32it/s]
[train-e2e] target layer 27 of 28 (is_last=True); head-only (lm_head∘norm)
[train-e2e] teacher_mode=onfly — head(norm(x)) computed in-loop, no cache
[train-e2e] Train docs: 9,333,919  Val docs: 491,259
[train-e2e] Encoder=gelu latent_dim=3072 K=2000 metric=euclidean sinkhorn=on
[train-e2e] lr=0.0001 grad_clip=1 lambda_mse=0.1 (MSE anchor ON)
[train-e2e] logits sanity (onfly): head path OK, logits shape=(2048, 128256) (teacher = same path, no cache)

  step   9700 | loss 0.1011 | kl 0.0699 | val_kl 0.0894 | clus 0.6929 | sep 1.0000 | mse(diag) 0.3119 | eff_K 2000/2000 | dying 0
  step   9800 | loss 0.1001 | kl 0.0693 | val_kl 0.0942 | clus 0.6837 | sep 0.3679 | mse(diag) 0.3071 | eff_K 2000/2000 | dying 0
  step   9900 | loss 0.1026 | kl 0.0713 | val_kl 0.0890 | clus 0.7183 | sep 0.3679 | mse(diag) 0.3135 | eff_K 2000/2000 | dying 0
  step  10000 | loss 0.1110 | kl 0.0800 | val_kl 0.1006 | clus 0.6924 | sep 0.3679 | mse(diag) 0.3097 | eff_K 2000/2000 | dying 0
  step  10100 | loss 0.1058 | kl 0.0754 | val_kl 0.0939 | clus 0.6934 | sep 1.0000 | mse(diag) 0.3040 | eff_K 2000/2000 | dying 0
  step  10200 | loss 0.1023 | kl 0.0721 | val_kl 0.0930 | clus 0.6896 | sep 1.0000 | mse(diag) 0.3020 | eff_K 2000/2000 | dying 0
  step  10300 | loss 0.1074 | kl 0.0774 | val_kl 0.0935 | clus 0.7079 | sep 0.3679 | mse(diag) 0.2994 | eff_K 2000/2000 | dying 0
  step  10400 | loss 0.0983 | kl 0.0688 | val_kl 0.0907 | clus 0.6916 | sep 1.0000 | mse(diag) 0.2954 | eff_K 2000/2000 | dying 0
  step  10500 | loss 0.1020 | kl 0.0718 | val_kl 0.0889 | clus 0.7186 | sep 1.0000 | mse(diag) 0.3019 | eff_K 2000/2000 | dying 0
  step  10600 | loss 0.0971 | kl 0.0676 | val_kl 0.0846 | clus 0.7287 | sep 0.3679 | mse(diag) 0.2948 | eff_K 2000/2000 | dying 0
  step  10700 | loss 0.0994 | kl 0.0693 | val_kl 0.0849 | clus 0.7112 | sep 0.3679 | mse(diag) 0.3018 | eff_K 2000/2000 | dying 0
